Date,cut_50,cut_25,hold,hike_25,expected_rate_change_fomc,rate_uncertainty_fomc,probability_cut_fomc,probability_hike_fomc,entropy_fomc,us_recession,entropy_us_recession,change_1d,change_5d,cpi_<=2.7,cpi_2.8,cpi_2.9,cpi_>=3.0,expected_cpi,uncertainty_cpi,entropy_cpi
2025-11-11,0.0275,0.685,0.285,0.0055,-18.3625,12.81181634151653,0.7125,0.0055,1.0738714885859864,0.0425,0.25363946182843883,0.007000000000000006,-0.003499999999999996,0.004,0.16,0.565,0.18,2.6372999999999998,0.25869237060647937,1.365565374860577
2025-11-12,0.0245,0.715,0.255,0.0055,-18.962500000000002,12.328264020128707,0.7394999999999999,0.0055,1.021150299538738,0.036,0.22364166448448083,-0.006500000000000006,-0.003500000000000003,0.044,0.14,0.46,0.185,2.3998,0.4562062178006784,1.5610895647626035
2025-11-13,0.0205,0.635,0.33,0.0055,-16.7625,12.963497255515197,0.6555,0.0055,1.1001100890480326,0.039,0.23768828956288524,0.0030000000000000027,-0.006999999999999999,0.004,0.0795,0.86,0.025,2.8024,0.09597238436133586,0.6424456293588211
2025-11-14,0.0165,0.525,0.445,0.0055,-13.8125,13.435068384641738,0.5415,0.0055,1.1468481079173678,0.0435,0.25811560463461086,0.004499999999999997,0.0029999999999999957,0.016,0.085,0.665,0.1155,2.5562000000000005,0.326701369541053,1.1488186003659835
2025-11-15,0.0185,0.465,0.51,0.0055,-12.412500000000001,13.641417580066598,0.48350000000000004,0.0055,1.1568910751249084,0.0395,0.23999499268835264,-0.003999999999999997,0.0040000000000000036,0.015,0.1105,0.63,0.162,2.6628999999999996,0.23648062536918357,1.287383737379289
2025-11-16,0.0195,0.465,0.505,0.0055,-12.4625,13.664626750070784,0.48450000000000004,0.0055,1.163487248072825,0.04,0.24229218908241482,0.0005000000000000004,-0.0025000000000000022,0.0145,0.111,0.65,0.1735,2.7554499999999997,0.15563597807865653,1.2829856739824999
2025-11-17,0.0215,0.455,0.515,0.0055,-12.3125,13.766264953909975,0.47650000000000003,0.0055,1.170330780848995,0.0395,0.23999499268835264,-0.0005000000000000004,0.003500000000000003,0.0135,0.11,0.705,0.1665,2.8884499999999997,0.05921047616342913,1.2203053050177521
2025-11-18,0.0195,0.435,0.535,0.0055,-11.7125,13.645289680646211,0.4545,0.0055,1.1572276356089057,0.0415,0.2491278633922673,0.0020000000000000018,0.0025000000000000022,0.011,0.118,0.715,0.169,2.9406,0.06887894221022853,1.214898634360285
2025-11-19,0.0215,0.515,0.46,0.0055,-13.8125,13.735316307333443,0.5365,0.0055,1.1687581233020492,0.0405,0.24457999269579242,-0.0010000000000000009,-0.0029999999999999957,0.0075,0.1205,0.71,0.1405,2.8381499999999997,0.08194526170713,1.1694387778496864
2025-11-20,0.0175,0.305,0.665,0.0055,-8.3625,12.937989561993394,0.3225,0.0055,1.0573265083646974,0.0415,0.2491278633922673,0.0010000000000000009,0.0020000000000000018,0.0065,0.1195,0.72,0.142,2.86615,0.06380742613520768,1.154590111197495
